Name,Brand,Description,Notes,Image URL,Wood,Fire,Earth,Metal,Water,Gender,Top,Middle,Base,Female_Score,Male_Score,key,matched_keywords,all_text
tyrannosaurus-rex,zoologist-perfumes,"fresh spicy, woody","fir, bay leaf, black pepper, nutmeg, bergamot, neroli, champaca, geranium, rose, ylang-ylang, osmanthus, jasmine, resins, leather, kyara incense, cade oil, civet, cedar, patchouli, sandalowood, vanilla",https://www.fragrantica.com/perfume/zoologist-perfumes/tyrannosaurus-rex-51353.html,0.3,0.3,0.2,0.2,0.0,unisex,"fir, bay leaf, black pepper, nutmeg, bergamot, neroli","champaca, geranium, rose, ylang-ylang, osmanthus, jasmine","resins, leather, kyara incense, cade oil, civet, cedar, patchouli, sandalowood, vanilla",0.43,0.57,zoologist perfumes|tyrannosaurus rex|unisex,"fir, bay leaf, black pepper, nutmeg, bergamot, neroli champaca, geranium, rose, ylang-ylang, osmanthus, jasmine resins, leather, kyara incense, cade oil, civet, cedar, patchouli, sandalowood, vanilla","tyrannosaurus-rex zoologist-perfumes fir, bay leaf, black pepper, nutmeg, bergamot, neroli, champaca, geranium, rose, ylang-ylang, osmanthus, jasmine, resins, leather, kyara incense, cade oil, civet, cedar, patchouli, sandalowood, vanilla fir, bay leaf, black pepper, nutmeg, bergamot, neroli champaca, geranium, rose, ylang-ylang, osmanthus, jasmine resins, leather, kyara incense, cade oil, civet, cedar, patchouli, sandalowood, vanilla"
squid,zoologist-perfumes,"amber, balsamic","incense, amyl salicylate, pink pepper, ink, sea salt, opoponax, ambergris, benzoin, musk",https://www.fragrantica.com/perfume/zoologist-perfumes/squid-56294.html,0.0,0.3333,0.3333,0.0,0.3333,unisex,"incense, amyl salicylate, pink pepper","ink, sea salt, opoponax","ambergris, benzoin, musk",0.0,1.0,zoologist perfumes|squid|unisex,"incense, amyl salicylate, pink pepper ink, sea salt, opoponax ambergris, benzoin, musk","squid zoologist-perfumes incense, amyl salicylate, pink pepper, ink, sea salt, opoponax, ambergris, benzoin, musk incense, amyl salicylate, pink pepper ink, sea salt, opoponax ambergris, benzoin, musk"
moth,zoologist-perfumes,"warm spicy, woody","clove, saffron, black pepper, cumin, cinnamon, nutmeg, lemon, heliotrope, mimosa, iris, rose, jasmine, lily-of-the-valley, honey, smoke, agarwood (oud), resins, musk, guaiac wood, ambergris, cypriol oil or nagarmotha, patchouli, vetiver",https://www.fragrantica.com/perfume/zoologist-perfumes/moth-49270.html,0.1538,0.2308,0.3077,0.3077,0.0,unisex,"clove, saffron, black pepper, cumin, cinnamon, nutmeg, lemon","heliotrope, mimosa, iris, rose, jasmine, lily-of-the-valley","honey, smoke, agarwood (oud), resins, musk, guaiac wood, ambergris, cypriol oil or nagarmotha, patchouli, vetiver",0.33,0.67,zoologist perfumes|moth|unisex,"clove, saffron, black pepper, cumin, cinnamon, nutmeg, lemon heliotrope, mimosa, iris, rose, jasmine, lily-of-the-valley honey, smoke, agarwood (oud), resins, musk, guaiac wood, ambergris, cypriol oil or nagarmotha, patchouli, vetiver","moth zoologist-perfumes clove, saffron, black pepper, cumin, cinnamon, nutmeg, lemon, heliotrope, mimosa, iris, rose, jasmine, lily-of-the-valley, honey, smoke, agarwood (oud), resins, musk, guaiac wood, ambergris, cypriol oil or nagarmotha, patchouli, vetiver clove, saffron, black pepper, cumin, cinnamon, nutmeg, lemon heliotrope, mimosa, iris, rose, jasmine, lily-of-the-valley honey, smoke, agarwood (oud), resins, musk, guaiac wood, ambergris, cypriol oil or nagarmotha, patchouli, vetiver"
hummingbird,zoologist-perfumes,"sweet, floral","lilac, cherry, pear, lily-of-the-valley, plum, apple, violet leaf, rose, citruses, honey, honeysuckle, mimosa, ylang-ylang, tulip, peony, whipped cream, musk, moss, coumarin, sandalwood, amber, white woods",https://www.fragrantica.com/perfume/zoologist-perfumes/hummingbird-32601.html,0.125,0.125,0.5,0.25,0.0,unisex,"lilac, cherry, pear, lily-of-the-valley, plum, apple, violet leaf, rose, citruses","honey, honeysuckle, mimosa, ylang-ylang, tulip, peony","whipped cream, musk, moss, coumarin, sandalwood, amber, white woods",0.75,0.25,zoologist perfumes|hummingbird|unisex,"lilac, cherry, pear, lily-of-the-valley, plum, apple, violet leaf, rose, citruses honey, honeysuckle, mimosa, ylang-ylang, tulip, peony whipped cream, musk, moss, coumarin, sandalwood, amber, white woods","hummingbird zoologist-perfumes lilac, cherry, pear, lily-of-the-valley, plum, apple, violet leaf, rose, citruses, honey, honeysuckle, mimosa, ylang-ylang, tulip, peony, whipped cream, musk, moss, coumarin, sandalwood, amber, white woods lilac, cherry, pear, lily-of-the-valley, plum, apple, violet leaf, rose, citruses honey, honeysuckle, mimosa, ylang-ylang, tulip, peony whipped cream, musk, moss, coumarin, sandalwood, amber, white woods"
camel,zoologist-perfumes,"amber, sweet","dried fruits, dates, olibanum, rose, myrhh, incense, amber, cinnamon, cedar, jasmine, orange blossom, civet, agarwood (oud), musk, sandalwood, vanilla, vetiver, tonka bean",https://www.fragrantica.com/perfume/zoologist-perfumes/camel-47334.html,0.1818,0.2727,0.3636,0.1818,0.0,unisex,"dried fruits, dates, olibanum, rose","myrhh, incense, amber, cinnamon, cedar, jasmine, orange blossom","civet, agarwood (oud), musk, sandalwood, vanilla, vetiver, tonka bean",0.71,0.29,zoologist perfumes|camel|unisex,"dried fruits, dates, olibanum, rose myrhh, incense, amber, cinnamon, cedar, jasmine, orange blossom civet, agarwood (oud), musk, sandalwood, vanilla, vetiver, tonka bean","camel zoologist-perfumes dried fruits, dates, olibanum, rose, myrhh, incense, amber, cinnamon, cedar, jasmine, orange blossom, civet, agarwood (oud), musk, sandalwood, vanilla, vetiver, tonka bean dried fruits, dates, olibanum, rose myrhh, incense, amber, cinnamon, cedar, jasmine, orange blossom civet, agarwood (oud), musk, sandalwood, vanilla, vetiver, tonka bean"
bee,zoologist-perfumes,"vanilla, beeswax","beeswax, ginger, orange, mimosa, broom, heliotrope, orange blossom, vanilla, benzoin, tonka bean, sandalwood, labdanum, musk",https://www.fragrantica.com/perfume/zoologist-perfumes/bee-58140.html,0.0,0.4,0.6,0.0,0.0,unisex,"beeswax, ginger, orange","mimosa, broom, heliotrope, orange blossom","vanilla, benzoin, tonka bean, sandalwood, labdanum, musk",0.5,0.5,zoologist perfumes|bee|unisex,"beeswax, ginger, orange mimosa, broom, heliotrope, orange blossom vanilla, benzoin, tonka bean, sandalwood, labdanum, musk","bee zoologist-perfumes beeswax, ginger, orange, mimosa, broom, heliotrope, orange blossom, vanilla, benzoin, tonka bean, sandalwood, labdanum, musk beeswax, ginger, orange mimosa, broom, heliotrope, orange blossom vanilla, benzoin, tonka bean, sandalwood, labdanum, musk"
vibrant-leather-oud,zara,"amber, citrus","bergamot, incense, woody notes, agarwood (oud), amber",https://www.fragrantica.com/perfume/zara/vibrant-leather-oud-53691.html,0.25,0.5,0.25,0.0,0.0,men,bergamot,"incense, woody notes","agarwood (oud), amber",0.0,1.0,zara|vibrant leather oud|men,"bergamot incense, woody notes agarwood (oud), amber","vibrant-leather-oud zara bergamot, incense, woody notes, agarwood (oud), amber bergamot incense, woody notes agarwood (oud), amber"
vibrant-leather-eau-de-parfum,zara,"citrus, leather","bergamot, bamboo, leather",https://www.fragrantica.com/perfume/zara/vibrant-leather-eau-de-parfum-50122.html,0.5,0.5,0.0,0.0,0.0,men,bergamot,bamboo,leather,0.0,1.0,zara|vibrant leather eau de parfum|men,bergamot bamboo leather,"vibrant-leather-eau-de-parfum zara bergamot, bamboo, leather bergamot bamboo leather"
tobacco-collection-rich-warm-addictive-2021,zara,"vanilla, rum","rum, peony, bourbon vanilla",https://www.fragrantica.com/perfume/zara/tobacco-collection-rich-warm-addictive-2021-69134.html,0.0,0.0,1.0,0.0,0.0,men,rum,peony,bourbon vanilla,0.17,0.83,zara|tobacco collection rich warm addictive 2021|men,rum peony bourbon vanilla,"tobacco-collection-rich-warm-addictive-2021 zara rum, peony, bourbon vanilla rum peony bourbon vanilla"
sunrise-on-the-red-sand-dunes,zara,"citrus, warm spicy","bergamot, ginger, mandarin orange, orange blossom, cassis, musk, amber",https://www.fragrantica.com/perfume/zara/sunrise-on-the-red-sand-dunes-79102.html,0.0,0.6,0.4,0.0,0.0,men,"bergamot, ginger","mandarin orange, orange blossom, cassis","musk, amber",0.0,1.0,zara|sunrise on the red sand dunes|men,"bergamot, ginger mandarin orange, orange blossom, cassis musk, amber","sunrise-on-the-red-sand-dunes zara bergamot, ginger, mandarin orange, orange blossom, cassis, musk, amber bergamot, ginger mandarin orange, orange blossom, cassis musk, amber"
sand-desert-at-sunset,zara,"warm spicy, cinnamon","orange, incense, cinnamon, tonka bean, chocolate, iris, cedar",https://www.fragrantica.com/perfume/zara/sand-desert-at-sunset-79100.html,0.1667,0.5,0.1667,0.1667,0.0,men,"orange, incense","cinnamon, tonka bean, chocolate","iris, cedar",0.0,1.0,zara|sand desert at sunset|men,"orange, incense cinnamon, tonka bean, chocolate iris, cedar","sand-desert-at-sunset zara orange, incense, cinnamon, tonka bean, chocolate, iris, cedar orange, incense cinnamon, tonka bean, chocolate iris, cedar"
rose-gourmand-for-her,zara,"rose, vanilla","rose, amber, vanila",https://www.fragrantica.com/perfume/zara/rose-gourmand-for-her-63268.html,0.0,0.0,0.5,0.5,0.0,women,rose,amber,vanila,1.0,0.0,zara|rose gourmand for her|women,rose amber vanila,"rose-gourmand-for-her zara rose, amber, vanila rose amber vanila"
